grid_id,target,model,val_accuracy,val_f1_macro,val_f1_weighted,test_accuracy,test_f1_macro,test_f1_weighted,train_time_s,train_rows_resampled,val_rows,test_rows
Grid_130,psal_qc,CatBoost,0.8904,0.451,0.9241,0.7311,0.2202,0.8112,686.69,1245384,56430,208374
Grid_130,psal_qc,LightGBM,0.9399,0.4347,0.9548,0.7959,0.2325,0.8514,110.19,1245384,56430,208374
Grid_130,psal_qc,LogisticRegression,0.6354,0.4692,0.7565,0.5803,0.2031,0.7054,1493.36,1245384,56430,208374
Grid_147,temp_qc,RandomForest,0.9832,0.6136,0.9856,0.962,0.2452,0.9803,396.71,1103740,49440,146433
Grid_147,temp_qc,ExtraTrees,0.9735,0.4463,0.9788,0.9542,0.2441,0.9763,145.6,1103740,49440,146433
Grid_147,temp_qc,XGBoost,0.9915,0.7005,0.9925,0.8984,0.2366,0.9462,188.34,1103740,49440,146433
Grid_147,temp_qc,CatBoost,0.9629,0.3943,0.9734,0.8957,0.2363,0.9447,557.45,1103740,49440,146433
Grid_147,temp_qc,LightGBM,0.9857,0.6687,0.9881,0.9023,0.2372,0.9484,91.74,1103740,49440,146433
Grid_147,temp_qc,LogisticRegression,0.6557,0.215,0.7799,0.5541,0.1783,0.713,1679.06,1103740,49440,146433
Grid_147,psal_qc,RandomForest,0.9801,0.9041,0.9834,0.7799,0.2844,0.7452,334.29,1093952,49440,146433
Grid_147,psal_qc,ExtraTrees,0.957,0.8321,0.9675,0.7793,0.3591,0.7551,115.38,1093952,49440,146433
Grid_147,psal_qc,XGBoost,0.982,0.913,0.9849,0.7437,0.419,0.7391,134.57,1093952,49440,146433
Grid_147,psal_qc,CatBoost,0.9558,0.7592,0.9668,0.7311,0.2174,0.7199,484.99,1093952,49440,146433
Grid_147,psal_qc,LightGBM,0.9764,0.8962,0.981,0.7395,0.4106,0.7366,73.75,1093952,49440,146433
Grid_147,psal_qc,LogisticRegression,0.644,0.303,0.7624,0.6306,0.2639,0.7097,1224.92,1093952,49440,146433
Grid_148,temp_qc,RandomForest,0.9743,0.5854,0.9832,0.9126,0.2386,0.9538,313.79,837772,37581,103769
Grid_148,temp_qc,ExtraTrees,0.9683,0.5722,0.9775,0.8835,0.2346,0.9377,91.39,837772,37581,103769
Grid_148,temp_qc,XGBoost,0.9891,0.7072,0.9922,0.8387,0.2281,0.9118,116.55,837772,37581,103769
Grid_148,temp_qc,CatBoost,0.9603,0.5338,0.9736,0.8238,0.2307,0.9029,358.5,837772,37581,103769
Grid_148,temp_qc,LightGBM,0.9852,0.6875,0.9896,0.848,0.2295,0.9172,63.04,837772,37581,103769
Grid_148,temp_qc,LogisticRegression,0.7315,0.2913,0.8312,0.5038,0.1676,0.6698,962.12,837772,37581,103769
Grid_148,psal_qc,RandomForest,0.9943,0.9452,0.9946,0.785,0.4262,0.7511,230.9,831540,37581,103769
Grid_148,psal_qc,ExtraTrees,0.9875,0.8928,0.9886,0.748,0.3554,0.7245,76.4,831540,37581,103769
Grid_148,psal_qc,XGBoost,0.9983,0.9835,0.9983,0.7227,0.3898,0.7132,104.03,831540,37581,103769
Grid_148,psal_qc,CatBoost,0.9854,0.8787,0.987,0.6752,0.3213,0.6801,349.47,831540,37581,103769
Grid_148,psal_qc,LightGBM,0.9988,0.9893,0.9988,0.7198,0.3838,0.7111,60.56,831540,37581,103769
Grid_148,psal_qc,LogisticRegression,0.6944,0.3066,0.7987,0.4809,0.2726,0.5677,906.1,831540,37581,103769
Grid_149,temp_qc,RandomForest,0.9853,0.5937,0.9894,0.9758,0.2469,0.9873,530.24,1225932,54394,171021
